path,family,public_action,exact_sudo_path,local_path,operator_target,private_network,hardware_identifier
"data/captures/honey/live-rt-cmdline-confirmation-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/numa-baseline-2026-04-22.json","numa-inventory","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/post-rt-chapel-repeat-return-host-context-2026-04-26.txt","host-context","private-or-sanitized-summary",0,0,0,1,1
"data/captures/honey/post-rt-chapel-repeat-return-service-check-2026-04-26.txt","host-context","private-or-sanitized-summary",0,0,0,1,0
"data/captures/honey/post-rt-repeat-return-host-context-2026-04-26.txt","host-context","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/post-rt-repeat-return-service-check-2026-04-26.txt","host-context","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/pre-rt-chapel-repeat-host-context-2026-04-26.txt","host-context","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/pre-rt-repeat-host-context-2026-04-26.txt","host-context","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/reboot-command-post-rt-chapel-repeat-return-generic-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/reboot-command-post-rt-repeat-return-generic-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/reboot-command-rt-chapel-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/reboot-command-rt-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/reboot-confirmation-post-rt-boot-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/reboot-confirmation-post-rt-recheck-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/reboot-confirmation-post-rt-recheck-return-generic-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/reboot-confirmation-post-rt-return-generic-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/reboot-confirmation-post-tuned-activation-2026-04-22.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,2
"data/captures/honey/reboot-confirmation-post-usbemu-disable-2026-04-22.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/reset-baseline-2026-04-22.json","reset-display-recovery","private-or-sanitized-summary",0,0,0,2,2
"data/captures/honey/rt-chapel-repeat-host-context-2026-04-26.txt","host-context","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/rt-chapel-repeat-post-capture-host-context-2026-04-26.txt","host-context","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/smi-rate-samples-2026-04-22.txt","other","public-ok",0,0,0,0,0
"data/captures/honey/smi-validate-2026-04-22.txt","smi-hwlat","public-ok",0,0,0,0,0
